scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
10100601,External Combustion Boilers,Electric Generation,Natural Gas,"Boiler, >= 100 Million BTU/hr",gas,NGEIP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10100602,External Combustion Boilers,Electric Generation,Natural Gas,"Boiler < 100 Million BTU, except tangential",gas,NGEIP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10100604,External Combustion Boilers,Electric Generation,Natural Gas,"Boiler, Tangential-fired",gas,NGEIP,24,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
10100701,External Combustion Boilers,Electric Generation,Process Gas,"Boiler, >= 100 Million BTU/hr",gas,NGEIP,6.57,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10100702,External Combustion Boilers,Electric Generation,Process Gas,Boiler < 100 Million Btu/hr,gas,NGEIP,6.57,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10100703,External Combustion Boilers,Electric Generation,Petroleum Refinery Gas,Boiler,gas,NGEIP,35,Lb / Million Cubic Feet,132163.5738852,Lb / Million Cubic Feet
10100801,External Combustion Boilers,Electric Generation,Petroleum Coke,All Boiler Sizes,coal,CLEIP,0.6,Lb / Ton,6231.92281272,Lb / Ton
10100901,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Bark-fired Boiler,wood/waste,WWEIB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10100902,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood/Bark-Fired Boiler,wood/waste,WWEIB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10100903,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood-fired Boiler - Wet Wood (>=20% moisture),wood/waste,WWEIB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10100908,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Wood-fired Boiler - Dry Wood (<20% moisture),wood/waste,WWEIB,0.6,Lb / Million Btus,214.95045,Lb / Million Btus
10100911,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Stoker boilers,wood/waste,WWEIB,13.6,Lb / Ton,2946.9706695,Lb / Ton
10100912,External Combustion Boilers,Electric Generation,Wood/Bark Waste,Fluidized bed combustion boiler,wood/waste,WWEIB,1.4,Lb / Ton,2946.9706695,Lb / Ton
10101001,External Combustion Boilers,Electric Generation,Liquified Petroleum Gas (LPG),Butane,lpg,NGEIP,3.6,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10101002,External Combustion Boilers,Electric Generation,Liquified Petroleum Gas (LPG),Propane,lpg,NGEIP,7.01,Lb / 1000 Gallon,12848.52536,Lb / 1000 Gallon
10101302,External Combustion Boilers,Electric Generation,Liquid Waste,Waste Oil,other oil,RFEIP,5,Lb / 1000 Gallon,22473.2679633,Lb / 1000 Gallon
10200101,External Combustion Boilers,Industrial,Anthracite Coal,Pulverized Coal,coal,CLICP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10200104,External Combustion Boilers,Industrial,Anthracite Coal,Traveling Grate (Overfeed) Stoker,coal,CLICP,0.6,Lb / Ton,5674.26859296,Lb / Ton
10200117,External Combustion Boilers,Industrial,Anthracite Coal,Fluidized Bed Boiler Burning Anthracite-Culm Fuel,coal,CLICP,0.3,Lb / Ton,5674.26859296,Lb / Ton
10200201,External Combustion Boilers,Industrial,Bituminous Coal,Pulverized Coal: Wet Bottom,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10200202,External Combustion Boilers,Industrial,Bituminous Coal,Pulverized Coal: Dry Bottom,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10200203,External Combustion Boilers,Industrial,Bituminous Coal,Cyclone Furnace,coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10200204,External Combustion Boilers,Industrial,Bituminous Coal,Spreader Stoker,coal,CLICP,5,Lb / Ton,4934.21293288,Lb / Ton
10200205,External Combustion Boilers,Industrial,Bituminous Coal,Overfeed Stoker,coal,CLICP,6,Lb / Ton,4934.21293288,Lb / Ton
10200206,External Combustion Boilers,Industrial,Bituminous Coal,Underfeed Stoker,coal,CLICP,11,Lb / Ton,4934.21293288,Lb / Ton
10200212,External Combustion Boilers,Industrial,Bituminous Coal,Pulverized Coal: Dry Bottom (Tangential),coal,CLICP,0.5,Lb / Ton,4934.21293288,Lb / Ton
10200217,External Combustion Boilers,Industrial,Bituminous Coal,Atmospheric Fluidized Bed Combustion: Bubbling Bed,coal,CLICP,18,Lb / Ton,4934.21293288,Lb / Ton
10200218,External Combustion Boilers,Industrial,Bituminous Coal,Atmospheric Fluidized Bed Combustion: Circulating Bed,coal,CLICP,18,Lb / Ton,4934.21293288,Lb / Ton
10200219,External Combustion Boilers,Industrial,Bituminous Coal,Cogeneration,coal,CLICP,0.6,Lb / Ton,4934.21293288,Lb / Ton
10200221,External Combustion Boilers,Industrial,Subbituminous Coal,Pulverized Coal: Wet Bottom,coal,CLICP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10200222,External Combustion Boilers,Industrial,Subbituminous Coal,Pulverized Coal: Dry Bottom,coal,CLICP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10200224,External Combustion Boilers,Industrial,Subbituminous Coal,Spreader Stoker,coal,CLICP,5,Lb / Ton,3732.90006254,Lb / Ton
10200225,External Combustion Boilers,Industrial,Subbituminous Coal,Traveling Grate (Overfeed) Stoker,coal,CLICP,6,Lb / Ton,3732.90006254,Lb / Ton
10200226,External Combustion Boilers,Industrial,Subbituminous Coal,Pulverized Coal: Dry Bottom (Tangential),coal,CLICP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10200229,External Combustion Boilers,Industrial,Subbituminous Coal,Cogeneration,coal,CLICP,0.6,Lb / Ton,3732.90006254,Lb / Ton
10200303,External Combustion Boilers,Industrial,Lignite,Cyclone Furnace,coal,CLICP,0.6,Lb / Ton,2747.87584654,Lb / Ton
10200306,External Combustion Boilers,Industrial,Lignite,Spreader Stoker,coal,CLICP,5,Lb / Ton,2747.87584654,Lb / Ton
10200401,External Combustion Boilers,Industrial,Residual Oil,Grade 6 oil,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10200402,External Combustion Boilers,Industrial,Residual Oil,10-100 Million BTU/hr,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
10200403,External Combustion Boilers,Industrial,Residual Oil,< 10 Million BTU/hr,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
